DATE	type	rarity	vendor	level	name	brand	slot	armor	core	attributes	talents	mods
2022-06-21	gear	header-he	DZ West	40	ST 520	China Light Industries Corporation	Gloves	80k	<span class="icon-utility"></span>1 Skill Tier	<span class="icon-defensive"></span>4,209 Armor Regeneration <br/><span class="icon-utility"></span>16.0% Repair Skills	-	-
2022-06-21	gear	header-he	DZ West	40	Nahar Knees	Golan Gear Ltd	Kneepads	99k	<span class="icon-defensive"></span>90,460 Armor	<span class="icon-defensive"></span>5.3% Explosive Resistance <br/><span class="icon-offensive"></span>8.0% Weapon Handling	-	-
2022-06-21	gear	header-gs	Clan	40	Nibble Backpack	Negotiator's Dilemma	Backpack	131k	<span class="icon-offensive"></span>11.3% Weapon Damage	<span class="icon-offensive"></span>4.7% Critical Hit Chance  	<span class="icon-active"></span>Critical Measures	Offensive
2022-06-21	gear	header-gs	Clan	40	Trombley Kneepads	Tip of the Spear	Kneepads	99k	<span class="icon-offensive"></span>12.3% Weapon Damage	<span class="icon-offensive"></span>6.5% Weapon Handling  	-	-
2022-06-21	gear	header-gs	Clan	40	Striker's Holster	Striker's Battlegear	Holster	112k	<span class="icon-offensive"></span>11.3% Weapon Damage	<span class="icon-offensive"></span>10.7% Critical Hit Damage  	-	-
2022-06-21	gear	header-he	Clan	40	Vambrace Gloves	Belstone Armory	Gloves	80k	<span class="icon-defensive"></span>129084 Armor	<span class="icon-utility"></span>8.2% Skill Damage <br/><span class="icon-utility"></span>17.4% Repair Skills	-	-
2022-06-21	gear	header-he	Clan	40	Climbing Gloves	Alps Summit Armaments	Gloves	80k	<span class="icon-utility"></span>1 Skill Tier	<span class="icon-utility"></span>10.5% Skill Haste <br/><span class="icon-offensive"></span>8.4% Headshot Damage	-	-
2022-06-21	gear	header-he	Clan	40	Strong Vest Bauson	Badger Tuff	Chest	158k	<span class="icon-defensive"></span>121123 Armor	<span class="icon-offensive"></span>10% Headshot Damage <br/><span class="icon-offensive"></span>4.5% Critical Hit Chance	<span class="icon-active"></span>Spotter	Offensive
2022-06-21	gear	header-he	Clan	40	Crew-Adapted Chest Rig	Petrov Defense Group	Chest	158k	<span class="icon-offensive"></span>8.8% Weapon Damage	<span class="icon-offensive"></span>4.7% Critical Hit Chance <br/><span class="icon-defensive"></span>9.5% Hazard Protection	<span class="icon-active"></span>Trauma	Offensive
2022-06-21	gear	header-gs	DZ South	40	Brad Tactical Pack	Tip of the Spear	Backpack	131k	<span class="icon-offensive"></span>11.0% Weapon Damage	<span class="icon-utility"></span>16.4% Repair Skills  	<span class="icon-active"></span>Signature Moves	Offensive
2022-06-21	gear	header-gs	DZ South	40	Appleton Body Armor	True Patriot	Chest	158k	<span class="icon-defensive"></span>74,808 Armor	<span class="icon-defensive"></span>10.0% Explosive Resistance  	<span class="icon-active"></span>Waving the Flag	Defensive
2022-06-21	gear	header-he	DZ South	40	RUSH72 Backpack	5.11 Tactical	Backpack	131k	<span class="icon-defensive"></span>123,568 Armor	<span class="icon-defensive"></span>8.5% Hazard Protection <br/><span class="icon-defensive"></span>4,196 Armor Regeneration	<span class="icon-active"></span>Safeguard	Defensive
2022-06-21	gear	header-he	DZ South	40	B.O.T. Protector	Empress International	Chest	158k	<span class="icon-utility"></span>1 Skill Tier	<span class="icon-utility"></span>6.9% Skill Damage <br/><span class="icon-utility"></span>8.9% Status Effects	<span class="icon-active"></span>Unbreakable	Utility
2022-06-21	gear	header-he	Haven	40	TacLite Plate Carrier	5.11 Tactical	Chest	158k	<span class="icon-defensive"></span>157674 Armor	<span class="icon-offensive"></span>7.3% Headshot Damage <br/><span class="icon-offensive"></span>8.8% Critical Hit Damage	<span class="icon-active"></span>Tamper Proof	Defensive
2022-06-21	gear	header-he	Haven	40	Poleyn Knee Protector	Belstone Armory	Kneepads	99k	<span class="icon-defensive"></span>127530 Armor	<span class="icon-defensive"></span>7.5% Explosive Resistance <br/><span class="icon-offensive"></span>4.7% Critical Hit Chance	-	-
2022-06-21	gear	header-he	Haven	40	MJ 54	China Light Industries Corporation	Mask	80k	<span class="icon-utility"></span>1 Skill Tier	<span class="icon-utility"></span>8.3% Status Effects <br/><span class="icon-defensive"></span>16236 Health	-	Utility
2022-06-21	gear	header-gs	DZ East	40	Ray Face Mask	Tip of the Spear	Mask	80k	<span class="icon-offensive"></span>10.8% Weapon Damage	<span class="icon-offensive"></span>4.5% Critical Hit Chance  	-	Offensive
2022-06-21	gear	header-gs	DZ East	40	Young Low-Friction Holster	True Patriot	Holster	112k	<span class="icon-defensive"></span>124,967 Armor	<span class="icon-defensive"></span>7.4% Explosive Resistance  	-	-
2022-06-21	gear	header-he	DZ East	40	Guardrail VI Face Rig	Petrov Defense Group	Mask	80k	<span class="icon-offensive"></span>11.4% Weapon Damage	<span class="icon-offensive"></span>4.5% Critical Hit Chance <br/><span class="icon-offensive"></span>10.2% Critical Hit Damage	-	Offensive
2022-06-21	gear	header-he	DZ East	40	Talon Tactical Holster	Wyvern Wear	Holster	112k	<span class="icon-offensive"></span>10.6% Weapon Damage	<span class="icon-utility"></span>10.1% Skill Haste <br/><span class="icon-defensive"></span>8.4% Hazard Protection	-	-
2022-06-21	gear	header-he	Benitez	40	Crash Bag	Hana-U Corporation	Backpack	131k	<span class="icon-utility"></span>1 Skill Tier	<span class="icon-defensive"></span>8.6% Hazard Protection <br/><span class="icon-offensive"></span>7% Headshot Damage	<span class="icon-active"></span>Adrenaline Rush	Offensive
2022-06-21	gear	header-he	Benitez	40	Theodora Grips	Uzina Getica	Gloves	80k	<span class="icon-defensive"></span>114287 Armor	<span class="icon-offensive"></span>5.5% Weapon Handling <br/><span class="icon-utility"></span>10.5% Skill Haste	-	-
2022-06-21	gear	header-he	Benitez	40	Bevor Air Guard	Belstone Armory	Mask	80k	<span class="icon-defensive"></span>144,587 Armor	<span class="icon-defensive"></span>8.0% Hazard Protection <br/><span class="icon-offensive"></span>6.5% Headshot Damage	-	Offensive
2022-06-21	gear	header-named	Cassie	40	Firm Handshake	Sokolov Concern	Gloves	80k	<span class="icon-offensive"></span>10.8% Weapon Damage	<span class="icon-utility"></span>15.0% Status Effects <br/><span class="icon-offensive"></span>8.5% Headshot Damage	-	-
2022-06-21	gear	header-named	Cassie	40	Hunter-Killer	Golan Gear Ltd	Chest	158k	<span class="icon-defensive"></span>129928 Armor	<span class="icon-defensive"></span>4229 Armor Regeneration <br/><span class="icon-offensive"></span>4.7% Critical Hit Chance	<span class="icon-active"></span>Perfect Intimidate	Utility
2022-06-21	gear	header-gs	Cassie	40	Ziba Low Profile Pack	Aces & Eights	Backpack	131k	<span class="icon-offensive"></span>11.3% Weapon Damage	<span class="icon-offensive"></span>4.7% Critical Hit Chance  	<span class="icon-active"></span>Ace in the Sleeve	Offensive
2022-06-21	gear	header-gs	Cassie	40	Serpentine Array Vest	Hard Wired	Chest	158k	<span class="icon-utility"></span>1 Skill Tier	<span class="icon-utility"></span>8.3% Skill Damage  	<span class="icon-active"></span>Positive Reinforcement	Utility
2022-06-21	gear	header-gs	Cassie	40	Light Touch Gloves	Heartbreaker	Gloves	80k	<span class="icon-defensive"></span>128300 Armor	<span class="icon-offensive"></span>10.7% Critical Hit Damage  	-	-
2022-06-21	gear	header-gs	Cassie	40	Striker's Kneepads	Striker's Battlegear	Kneepads	99k	<span class="icon-offensive"></span>12.3% Weapon Damage	<span class="icon-offensive"></span>10.8% Critical Hit Damage  	-	-
2022-06-21	gear	header-gs	Cassie	40	Striker's Holster	Striker's Battlegear	Holster	112k	<span class="icon-offensive"></span>12.7% Weapon Damage	<span class="icon-utility"></span>10.1% Skill Haste  	-	-
2022-06-21	gear	header-gs	Cassie	40	Striker's Harness	Striker's Battlegear	Chest	158k	<span class="icon-offensive"></span>12.1% Weapon Damage	<span class="icon-defensive"></span>16699 Health  	-	Offensive
2022-06-21	gear	header-he	Cassie	40	Maree  Range Pack	Douglas & Harding	Backpack	131k	<span class="icon-offensive"></span>10.7% Weapon Damage	<span class="icon-offensive"></span>10.0% Headshot Damage <br/><span class="icon-offensive"></span>4.5% Critical Hit Chance	<span class="icon-active"></span>Galvanize	Offensive
2022-06-21	gear	header-he	Cassie	40	Knee Mesh Jonti	Badger Tuff	Kneepads	99k	<span class="icon-defensive"></span>127530 Armor	<span class="icon-utility"></span>7.6% Skill Damage <br/><span class="icon-defensive"></span>8.6% Hazard Protection	-	-
2022-06-28	gear	header-he	White House	40	Scapula Bug-out Bag	Wyvern Wear	Backpack	131k	<span class="icon-utility"></span>1 Skill Tier	<span class="icon-utility"></span>7.2% Skill Damage <br/><span class="icon-utility"></span>16.1% Repair Skills	<span class="icon-active"></span>Overclock	Utility
2022-06-28	gear	header-he	White House	40	TacLite Plate Carrier	5.11 Tactical	Chest	158k	<span class="icon-defensive"></span>98,606 Armor	<span class="icon-offensive"></span>8.0% Weapon Handling <br/><span class="icon-defensive"></span>7.7% Hazard Protection	<span class="icon-active"></span>Trauma	Defensive
2022-06-28	gear	header-gs	Clan	40	Loadout Frame	Ongoing Directive	Backpack	131k	<span class="icon-offensive"></span>9.5% Weapon Damage	<span class="icon-defensive"></span>9.4% Hazard Protection  	<span class="icon-active"></span>Trauma Specialist	Utility
2022-06-28	gear	header-gs	Clan	40	Mirror Gloves	Negotiator's Dilemma	Gloves	80k	<span class="icon-offensive"></span>10.9% Weapon Damage	<span class="icon-offensive"></span>6.5% Weapon Handling  	-	-
2022-06-28	gear	header-gs	Clan	40	Strines Stabilizing Pads	Hard Wired	Kneepads	99k	<span class="icon-utility"></span>1 Skill Tier	<span class="icon-defensive"></span>4,130 Armor Regeneration  	-	-
2022-06-28	gear	header-he	Clan	40	Combat Mask Cete	Badger Tuff	Mask	80k	<span class="icon-defensive"></span>127,310 Armor	<span class="icon-defensive"></span>18,538 Health <br/><span class="icon-offensive"></span>7.6% Headshot Damage	-	Offensive
2022-06-28	gear	header-he	Clan	40	Heracles Dexterity Gloves	Airaldi Holdings	Gloves	80k	<span class="icon-offensive"></span>11.7% Weapon Damage	<span class="icon-offensive"></span>5.0% Critical Hit Chance <br/><span class="icon-offensive"></span>6.5% Weapon Handling	-	-
2022-06-28	gear	header-he	Clan	40	Armadillo Vest	Gila Guard	Chest	158k	<span class="icon-defensive"></span>127,530 Armor	<span class="icon-defensive"></span>9.1% Hazard Protection <br/><span class="icon-defensive"></span>15,068 Health	<span class="icon-active"></span>Tamper Proof	Defensive
2022-06-28	gear	header-he	Clan	40	Digits Finger Stabilizer	Wyvern Wear	Gloves	80k	<span class="icon-utility"></span>1 Skill Tier	<span class="icon-utility"></span>17.6% Repair Skills <br/><span class="icon-defensive"></span>4,284 Armor Regeneration	-	-
2022-06-28	gear	header-named	Countdown	40	Pointman	Gila Guard	Chest	158k	<span class="icon-defensive"></span>127,530 Armor	<span class="icon-defensive"></span>3,769 Armor Regeneration <br/><span class="icon-utility"></span>8.3% Skill Damage	<span class="icon-active"></span>Perfect Vanguard	Defensive
2022-06-28	gear	header-named	Countdown	40	Zero F's	Badger Tuff	Chest	158k	<span class="icon-defensive"></span>127,096 Armor	<span class="icon-defensive"></span>8.6% Hazard Protection <br/><span class="icon-offensive"></span>4.9% Critical Hit Chance	<span class="icon-active"></span>Perfectly Unbreakable	Offensive
2022-06-28	gear	header-he	The Theater	40	Dusk Attack Gloves	Grupo Sombra S.A.	Gloves	80k	<span class="icon-offensive"></span>9.9% Weapon Damage	<span class="icon-offensive"></span>8.5% Headshot Damage <br/><span class="icon-offensive"></span>5.5% Weapon Handling	-	-
2022-06-28	gear	header-he	The Theater	40	Dingson Protection Pads	Overlord Armaments	Kneepads	99k	<span class="icon-offensive"></span>14.5% Weapon Damage	<span class="icon-defensive"></span>4.5% Explosive Resistance <br/><span class="icon-defensive"></span>14,490 Health	-	-
2022-06-28	gear	header-he	The Campus	40	Aphrodite Glint Concealer	Airaldi Holdings	Mask	80k	<span class="icon-offensive"></span>11.0% Weapon Damage	<span class="icon-defensive"></span>7.4% Explosive Resistance <br/><span class="icon-offensive"></span>7.4% Headshot Damage	-	Offensive
2022-06-28	gear	header-he	The Campus	40	Constantin Sheath	Uzina Getica	Holster	112k	<span class="icon-defensive"></span>140,930 Armor	<span class="icon-offensive"></span>4.8% Headshot Damage <br/><span class="icon-defensive"></span>4,312 Armor Regeneration	-	-
2022-06-28	gear	header-named	DZ West	40	Deathgrips	5.11 Tactical	Gloves	80k	<span class="icon-defensive"></span>134,819 Armor	<span class="icon-defensive"></span>10.0 Armor on Kill <br/><span class="icon-defensive"></span>14,492 Health	-	-
2022-06-28	gear	header-gs	DZ West	40	Reyes Combat Gloves	Tip of the Spear	Gloves	80k	<span class="icon-offensive"></span>10.2% Weapon Damage	<span class="icon-offensive"></span>6.9% Headshot Damage  	-	-
2022-06-28	gear	header-gs	DZ West	40	Trombley Kneepads	Tip of the Spear	Kneepads	99k	<span class="icon-offensive"></span>10.8% Weapon Damage	<span class="icon-utility"></span>8.5% Status Effects  	-	-
2022-06-28	gear	header-he	DZ West	40	Station Grip Gloves	5.11 Tactical	Gloves	80k	<span class="icon-defensive"></span>90,460 Armor	<span class="icon-defensive"></span>3,767 Armor Regeneration <br/><span class="icon-defensive"></span>16,856 Health	-	-
2022-06-28	gear	header-he	DZ West	40	Pivot Pads	Petrov Defense Group	Kneepads	99k	<span class="icon-offensive"></span>10.1% Weapon Damage	<span class="icon-offensive"></span>6.8% Headshot Damage <br/><span class="icon-utility"></span>7.8% Skill Damage	-	-
2022-06-28	gear	header-named	DZ South	40	The Gift	Providence Defense	Backpack	131k	<span class="icon-offensive"></span>6.3% Weapon Damage	<span class="icon-utility"></span>10.3% Skill Haste <br/><span class="icon-utility"></span>10.0% Status Effects	<span class="icon-active"></span>Perfect Vigilance	Offensive
2022-06-28	gear	header-gs	DZ South	40	Driver Excursion Pack	True Patriot	Backpack	131k	<span class="icon-defensive"></span>127,530 Armor	<span class="icon-utility"></span>10.3% Skill Haste  	<span class="icon-active"></span>Patriotic Boost	Defensive
2022-06-28	gear	header-gs	DZ South	40	Resource Harness	Ongoing Directive	Chest	158k	<span class="icon-offensive"></span>11.3% Weapon Damage	<span class="icon-utility"></span>9.7% Skill Haste  	<span class="icon-active"></span>Parabellum Rounds	Utility
2022-06-28	gear	header-he	DZ South	40	RUSH24 Backpack	5.11 Tactical	Backpack	131k	<span class="icon-defensive"></span>115,082 Armor	<span class="icon-defensive"></span>3,767 Armor Regeneration <br/><span class="icon-utility"></span>6.9% Skill Damage	<span class="icon-active"></span>Composure	Defensive
2022-06-28	gear	header-he	DZ South	40	Athena Missile Vest	Airaldi Holdings	Chest	158k	<span class="icon-offensive"></span>10.4% Weapon Damage	<span class="icon-defensive"></span>4,003 Armor Regeneration <br/><span class="icon-defensive"></span>15,308 Health	<span class="icon-active"></span>Intimidate	Offensive
2022-06-28	gear	header-he	Haven	40	Tatami Cuirass	Murakami Industries	Chest	158k	<span class="icon-utility"></span>1 Skill Tier	<span class="icon-utility"></span>10.8% Skill Haste <br/><span class="icon-offensive"></span>5.5% Weapon Handling	<span class="icon-active"></span>Tag Team	Utility
2022-06-28	gear	header-he	Haven	40	Micro Plated Gloves	Sokolov Concern	Gloves	80k	<span class="icon-offensive"></span>12.7% Weapon Damage	<span class="icon-defensive"></span>3028 Armor Regeneration <br/><span class="icon-utility"></span>11% Skill Haste	-	-
2022-06-28	gear	header-he	Haven	40	Compact Holster Pouch	5.11 Tactical	Holster	112k	<span class="icon-defensive"></span>149717 Armor	<span class="icon-defensive"></span>3795 Armor Regeneration <br/><span class="icon-utility"></span>8.3% Status Effects	-	-
2022-06-28	gear	header-he	Benitez	40	Crash Bag	Hana-U Corporation	Backpack	131k	<span class="icon-utility"></span>1 Skill Tier	<span class="icon-utility"></span>8.2% Status Effects <br/><span class="icon-offensive"></span>4.3% Critical Hit Chance	<span class="icon-active"></span>Safeguard	Offensive
2022-06-28	gear	header-he	Benitez	40	Nimble Knee Protectors	Sokolov Concern	Kneepads	99k	<span class="icon-offensive"></span>10.2% Weapon Damage	<span class="icon-utility"></span>9.1% Skill Haste <br/><span class="icon-utility"></span>9.2% Skill Damage	-	-
2022-06-28	gear	header-he	Benitez	40	Fodral Holster	Fenris Group AB	Holster	112k	<span class="icon-offensive"></span>11.8% Weapon Damage	<span class="icon-utility"></span>6.6% Skill Damage <br/><span class="icon-offensive"></span>5.5% Weapon Handling	-	-
2022-06-28	gear	header-gs	DZ East	40	Ray Face Mask	Tip of the Spear	Mask	80k	<span class="icon-offensive"></span>14.8% Weapon Damage	<span class="icon-defensive"></span>4.5% Explosive Resistance  	-	Offensive
2022-06-28	gear	header-gs	DZ East	40	Rigger Utility Pouch	Rigger	Holster	112k	<span class="icon-utility"></span>1 Skill Tier	<span class="icon-utility"></span>8.6% Status Effects  	-	-
2022-06-28	gear	header-he	DZ East	40	Guardrail VI Face Rig	Petrov Defense Group	Mask	80k	<span class="icon-offensive"></span>10.5% Weapon Damage	<span class="icon-defensive"></span>8.3% Hazard Protection <br/><span class="icon-utility"></span>17.3% Repair Skills	-	Offensive
2022-06-28	gear	header-he	DZ East	40	Jaivardhan Thigh Rig	Richter & Kaiser	Holster	112k	<span class="icon-utility"></span>1 Skill Tier	<span class="icon-defensive"></span>3,875 Armor Regeneration <br/><span class="icon-utility"></span>8.4% Status Effects	-	-
2022-06-28	gear	header-named	Cassie	40	Pointman	Gila Guard	Chest	158k	<span class="icon-defensive"></span>127,530 Armor	<span class="icon-defensive"></span>3,769 Armor Regeneration <br/><span class="icon-utility"></span>8.3% Skill Damage	<span class="icon-active"></span>Perfect Vanguard	Defensive
2022-06-28	gear	header-named	Cassie	40	Hunter-Killer	Golan Gear Ltd	Chest	158k	<span class="icon-defensive"></span>129,727 Armor	<span class="icon-defensive"></span>16,171 Health <br/><span class="icon-utility"></span>8.7% Status Effects	<span class="icon-active"></span>Perfect Intimidate	Utility
2022-06-28	gear	header-gs	Cassie	40	Loadout Frame	Ongoing Directive	Backpack	131k	<span class="icon-offensive"></span>9.5% Weapon Damage	<span class="icon-defensive"></span>9.4% Hazard Protection  	<span class="icon-active"></span>Trauma Specialist	Utility
2022-06-28	gear	header-gs	Cassie	40	Terrapin Armored Rig	Future Initiative	Chest	158k	<span class="icon-utility"></span>1 Skill Tier	<span class="icon-offensive"></span>6.0% Weapon Handling  	<span class="icon-active"></span>Tactical Superiority	Utility
2022-06-28	gear	header-gs	Cassie	40	Mirror Gloves	Negotiator's Dilemma	Gloves	80k	<span class="icon-offensive"></span>11.7% Weapon Damage	<span class="icon-defensive"></span>4,130 Armor Regeneration  	-	-
2022-06-28	gear	header-gs	Cassie	40	Nina Prone Pads	Aces & Eights	Kneepads	99k	<span class="icon-offensive"></span>11.7% Weapon Damage	<span class="icon-defensive"></span>16,347 Health  	-	-
2022-06-28	gear	header-gs	Cassie	40	Anvil Toolbelt	Foundry Bulwark	Holster	112k	<span class="icon-defensive"></span>137,415 Armor	<span class="icon-offensive"></span>5.0% Critical Hit Chance  	-	-
2022-06-28	gear	header-gs	Cassie	40	Striker's Mask	Striker's Battlegear	Mask	80k	<span class="icon-offensive"></span>11.9% Weapon Damage	<span class="icon-offensive"></span>11.0% Critical Hit Chance  	-	Offensive
2022-06-28	gear	header-he	Cassie	40	Chemar Backpack	Golan Gear Ltd	Backpack	131k	<span class="icon-defensive"></span>127,530 Armor	<span class="icon-defensive"></span>9.1% Hazard Protection <br/><span class="icon-defensive"></span>15,068 Health	<span class="icon-active"></span>Concussion	Utility
2022-06-28	gear	header-he	Cassie	40	Equipment Holster Huffle	Badger Tuff	Holster	112k	<span class="icon-defensive"></span>145,334 Armor	<span class="icon-defensive"></span>8.9% Hazard Protection <br/><span class="icon-defensive"></span>4,224 Armor Regeneration	-	-
2022-07-05	gear	header-he	White House	40	KM 9	China Light Industries Corporation	Backpack	131k	<span class="icon-utility"></span>1 Skill Tier	<span class="icon-utility"></span>9.7% Skill Damage <br/><span class="icon-offensive"></span>4.5% Weapon Handling	<span class="icon-active"></span>Protector	Utility
2022-07-05	gear	header-he	White House	40	PS 282	China Light Industries Corporation	Chest	158k	<span class="icon-utility"></span>1 Skill Tier	<span class="icon-utility"></span>8.3% Skill Damage <br/><span class="icon-utility"></span>9.5% Skill Haste	<span class="icon-active"></span>Tamper Proof	Utility
2022-07-05	gear	header-named	Clan	40	Nightwatcher	Gila Guard	Mask	80k	<span class="icon-defensive"></span>116,436 Armor	<span class="icon-utility"></span>100% Scanner Pulse Haste <br/><span class="icon-defensive"></span>6.9% Explosive Resistance	-	Defensive
2022-07-05	gear	header-gs	Clan	40	Light Touch Gloves	Heartbreaker	Gloves	80k	<span class="icon-defensive"></span>170,000 Armor	<span class="icon-defensive"></span>7.5% Hazard Protection  	-	-
2022-07-05	gear	header-gs	Clan	40	Rhodeswood AR Mask	Hard Wired	Mask	80k	<span class="icon-utility"></span>1 Skill Tier	<span class="icon-utility"></span>10.8% Skill Haste  	-	Utility
2022-07-05	gear	header-gs	Clan	40	Molesey ESD Gloves	Hard Wired	Gloves	80k	<span class="icon-utility"></span>1 Skill Tier	<span class="icon-offensive"></span>6.5% Weapon Handling  	-	-
2022-07-05	gear	header-he	Clan	40	Plated Gloves	Hana-U Corporation	Gloves	80k	<span class="icon-utility"></span>1 Skill Tier	<span class="icon-defensive"></span>4130 Armor Regeneration <br/><span class="icon-offensive"></span>4.8% Critical Hit Chance	-	-
2022-07-05	gear	header-he	Clan	40	Sashimono Backpack	Murakami Industries	Backpack	131k	<span class="icon-utility"></span>1 Skill Tier	<span class="icon-utility"></span>10.8% Skill Haste <br/><span class="icon-offensive"></span>5.0% Critical Hit Chance	<span class="icon-active"></span>Overclock	Utility
2022-07-05	gear	header-he	The Theater	40	Station Grip Gloves	5.11 Tactical	Gloves	80k	<span class="icon-defensive"></span>105,343 Armor	<span class="icon-offensive"></span>10.3% Critical Hit Damage <br/><span class="icon-defensive"></span>4,497 Armor Regeneration	-	-
2022-07-05	gear	header-he	The Theater	40	Sundown Knee Guards	Grupo Sombra S.A.	Kneepads	99k	<span class="icon-offensive"></span>10.2% Weapon Damage	<span class="icon-offensive"></span>9.9% Critical Hit Damage <br/><span class="icon-defensive"></span>8.2% Hazard Protection	-	-
2022-07-05	gear	header-named	Countdown	40	Chain Killer	Walker, Harris & Co.	Chest	158k	<span class="icon-offensive"></span>11.7% Weapon Damage	<span class="icon-offensive"></span>6.5% Weapon Handling <br/><span class="icon-utility"></span>17.0% Repair Skills	<span class="icon-active"></span>Perfect Headhunter	Offensive
2022-07-05	gear	header-named	Countdown	40	Devil's Due	Česká Výroba s.r.o.	Backpack	131k	<span class="icon-offensive"></span>14.3% Weapon Damage	<span class="icon-utility"></span>7.5% Skill Damage <br/><span class="icon-defensive"></span>7.4% Explosive Resistance	<span class="icon-active"></span>Perfect Clutch	Defensive
2022-07-05	gear	header-named	The Campus	40	Nightwatcher	Gila Guard	Mask	80k	<span class="icon-defensive"></span>123,107 Armor	<span class="icon-utility"></span>10.00% Scanner Pulse Haste <br/><span class="icon-defensive"></span>15,717 Health	-	Defensive
2022-07-05	gear	header-he	The Campus	40	MJ 54	China Light Industries Corporation	Mask	80k	<span class="icon-utility"></span>1 Skill Tier	<span class="icon-utility"></span>8.4% Status Effects <br/><span class="icon-offensive"></span>4.4% Critical Hit Chance	-	Utility
2022-07-05	gear	header-he	The Campus	40	Fodral Holster	Fenris Group AB	Holster	112k	<span class="icon-offensive"></span>9.4% Weapon Damage	<span class="icon-defensive"></span>16,112 Health <br/><span class="icon-utility"></span>10.0% Skill Haste	-	-
2022-07-05	gear	header-gs	DZ West	40	CQB Fist Guards	Ongoing Directive	Gloves	80k	<span class="icon-offensive"></span>11.2% Weapon Damage	<span class="icon-offensive"></span>9.8% Critical Hit Damage  	-	-
2022-07-05	gear	header-gs	DZ West	40	Strines Stabilizing Pads	Hard Wired	Kneepads	99k	<span class="icon-utility"></span>1 Skill Tier	<span class="icon-utility"></span>8.5% Status Effects  	-	-
2022-07-05	gear	header-he	DZ West	40	Lochy Hand Savers	Douglas & Harding	Gloves	80k	<span class="icon-offensive"></span>11.3% Weapon Damage	<span class="icon-offensive"></span>6.0% Weapon Handling <br/><span class="icon-defensive"></span>16,020 Health	-	-
2022-07-05	gear	header-he	DZ West	40	Clutch XO-Skin Sport Pads	Alps Summit Armaments	Kneepads	99k	<span class="icon-utility"></span>1 Skill Tier	<span class="icon-utility"></span>8.5% Status Effects <br/><span class="icon-utility"></span>7.3% Skill Damage	-	-
2022-07-05	gear	header-he	Haven	40	Mechanized Infantry Armor	Česká Výroba s.r.o.	Chest	158k	<span class="icon-offensive"></span>11.3% Weapon Damage	<span class="icon-utility"></span>10.3% Skill Haste <br/><span class="icon-offensive"></span>6.0% Weapon Handling	<span class="icon-active"></span>Overwatch	Defensive
2022-07-05	gear	header-he	Haven	40	Savanna Field Gloves	Walker, Harris & Co.	Gloves	80k	<span class="icon-offensive"></span>11.3% Weapon Damage	<span class="icon-offensive"></span>7.6% Headshot Damage <br/><span class="icon-defensive"></span>8.6% Hazard Protection	-	-
2022-07-05	gear	header-he	Haven	40	Drop Leg Holster	Petrov Defense Group	Holster	112k	<span class="icon-offensive"></span>9.3% Weapon Damage	<span class="icon-offensive"></span>4.9% Critical Hit Chance <br/><span class="icon-utility"></span>16.1% Repair Skills	-	-
2022-07-05	gear	header-named	DZ South	40	Ferocious Calm	Fenris Group AB	Chest	158k	<span class="icon-offensive"></span>5.5% Weapon Damage	<span class="icon-offensive"></span>5.5% Critical Hit Chance <br/><span class="icon-offensive"></span>11.3% Critical Hit Damage	<span class="icon-active"></span>Perfect Overwatch	Offensive
2022-07-05	gear	header-gs	DZ South	40	Driver Excursion Pack	True Patriot	Backpack	131k	<span class="icon-defensive"></span>134,056 Armor	<span class="icon-defensive"></span>15,572 Health  	<span class="icon-active"></span>Patriotic Boost	Defensive
2022-07-05	gear	header-gs	DZ South	40	Resource Harness	Ongoing Directive	Chest	158k	<span class="icon-offensive"></span>11.6% Weapon Damage	<span class="icon-utility"></span>7.1% Skill Damage  	<span class="icon-active"></span>Parabellum Rounds	Utility
2022-07-05	gear	header-he	DZ South	40	RUSH24 Backpack	5.11 Tactical	Backpack	131k	<span class="icon-defensive"></span>122,404 Armor	<span class="icon-offensive"></span>6.0% Weapon Handling <br/><span class="icon-utility"></span>8.5% Status Effects	<span class="icon-active"></span>Composure	Defensive
2022-07-05	gear	header-he	DZ East	40	Modular Holster	Providence Defense	Holster	112k	<span class="icon-offensive"></span>11.0% Weapon Damage	<span class="icon-defensive"></span>9.4% Hazard Protection <br/><span class="icon-defensive"></span>5.8% Explosive Resistance	-	-
2022-07-05	gear	header-he	Benitez	40	Body Armor System	Providence Defense	Chest	158k	<span class="icon-offensive"></span>10.8% Weapon Damage	<span class="icon-utility"></span>9.7% Skill Haste <br/><span class="icon-utility"></span>17.1% Repair Skills	<span class="icon-active"></span>Spark	Offensive
2022-07-05	gear	header-he	Benitez	40	Mesa Knee Guards	Walker, Harris & Co.	Kneepads	99k	<span class="icon-offensive"></span>10.7% Weapon Damage	<span class="icon-offensive"></span>9.7% Critical Hit Damage <br/><span class="icon-offensive"></span>6.7% Headshot Damage	-	-
2022-07-05	gear	header-he	Benitez	40	Emet Mask	Golan Gear Ltd	Mask	80k	<span class="icon-defensive"></span>117407 Armor	<span class="icon-defensive"></span>15325 Health <br/><span class="icon-offensive"></span>6.0% Weapon Handling	-	Utility
2022-07-05	gear	header-gs	DZ East	40	Fog of War Mask	Future Initiative	Mask	80k	<span class="icon-utility"></span>1 Skill Tier	<span class="icon-utility"></span>10.2% Skill Haste  	-	Utility
