DATE	type	rarity	vendor	level	name	dmg	rpm	mag	talent	attribute1	attribute2	attribute3
2025-12-09	weapon	header-he	Benitez	40	SR-1	357291	60	5	Reformation	<span class="icon-weapons"></span>11.1 MMR Damage	<span class="icon-weapons"></span>85 Headshot Damage	<span class="icon-weapons"></span>7 Damage Out of Cover
2025-12-09	weapon	header-named	Benitez	40	Thorn - SPAS-12	646883	70	8	Perfect Brazen	<span class="icon-weapons"></span>8.4 Shotgun Damage	<span class="icon-weapons"></span>12 Damage to Armor	<span class="icon-weapons"></span>8 Headshot Damage
2025-12-09	weapon	header-he	Benitez	40	Custom PF45	82741	370	15	Optimist	<span class="icon-weapons"></span>11 Pistol Damage	<span class="icon-weapons"></span>8.8 Accuracy	
2025-12-09	weapon	header-he	Haven	40	MP5-N	51713	800	32	Vindictive	<span class="icon-weapons"></span>12.4 SMG Damage	<span class="icon-weapons"></span>12.5 Critical Hit Chance	<span class="icon-weapons"></span>7.4 Reload Speed
2025-12-09	weapon	header-he	Haven	40	M249 B	56414	550	100	Fast Hands	<span class="icon-weapons"></span>8.9 LMG Damage	<span class="icon-weapons"></span>7 Damage Out of Cover	<span class="icon-weapons"></span>5 Rate of Fire
2025-12-09	weapon	header-he	Haven	40	SASG-12	364812	180	7	Thunder Strike	<span class="icon-weapons"></span>11.5 Shotgun Damage	<span class="icon-weapons"></span>8 Damage to Armor	<span class="icon-weapons"></span>9 Magazine Size
2025-12-09	weapon	header-he	Haven	40	Custom PF45	82741	370	15	Close & Personal	<span class="icon-weapons"></span>10.7 Pistol Damage	<span class="icon-weapons"></span>5 Damage to Armor	
2025-12-09	weapon	header-he	The Bridge	40	Tactical Vector SBR 9mm	42311	1200	19	Soft Spot	<span class="icon-weapons"></span>10.5 SMG Damage	<span class="icon-weapons"></span>17 Critical Hit Chance	<span class="icon-weapons"></span>5.5 Health Damage
2025-12-09	weapon	header-he	The Bridge	40	Classic M44 Carbine	423108	55	5	Close & Personal	<span class="icon-weapons"></span>10 MMR Damage	<span class="icon-weapons"></span>93 Headshot Damage	<span class="icon-weapons"></span>10 Stability
2025-12-09	weapon	header-he	The Bridge	40	UIC15 MOD2	105777	240	30	Steady Handed	<span class="icon-weapons"></span>10.9 Rifle Damage	<span class="icon-weapons"></span>12 Critical Hit Damage	<span class="icon-weapons"></span>5 Damage to Armor
2025-12-09	weapon	header-named	The Bridge	40	Prophet - Police 686 Magnum	190339	160	6	Perfectly Determined	<span class="icon-weapons"></span>8.7 Pistol Damage	<span class="icon-weapons"></span>11.5 Magazine Size	
2025-12-09	weapon	header-named	Cassie	40	Test Subject	0	0	0	Perfectly In Sync	<span class="icon-weapons"></span>12 AR Damage	<span class="icon-weapons"></span>17.5 Health Damage	<span class="icon-weapons"></span>20 Optimal Range
2025-12-09	weapon	header-named	Cassie	40	Shield Splinterer - F2000	45132	850	30	Perfect Optimist	<span class="icon-weapons"></span>15 AR Damage	<span class="icon-weapons"></span>13 Health Damage	<span class="icon-weapons"></span>7 Damage Out of Cover
2025-12-09	weapon	header-named	Cassie	40	Huntsman	0	0	0	Perfectly Unhinged	<span class="icon-weapons"></span>12.2 AR Damage	<span class="icon-weapons"></span>17 Health Damage	<span class="icon-weapons"></span>8 Critical Hit Damage
2025-12-09	weapon	header-he	Cassie	40	ACR	53124	650	30	Overflowing	<span class="icon-weapons"></span>9 AR Damage	<span class="icon-weapons"></span>20.5 Health Damage	<span class="icon-weapons"></span>9 Headshot Damage
2025-12-09	weapon	header-he	Cassie	40	Military M870	695775	75	5	Preservation	<span class="icon-weapons"></span>10 Shotgun Damage	<span class="icon-weapons"></span>12 Damage to Armor	<span class="icon-weapons"></span>8.5 Magazine Size
2025-12-16	weapon	header-named	White House	40	Grown Great - M1928	70518	600	30	Perfect Stabilize	<span class="icon-weapons"></span>12.4 SMG Damage	<span class="icon-weapons"></span>17 Critical Hit Chance	<span class="icon-weapons"></span>8 Headshot Damage
2025-12-16	weapon	header-he	White House	40	Honey Badger	47952	790	30	Close & Personal	<span class="icon-weapons"></span>11.2 AR Damage	<span class="icon-weapons"></span>14.5 Health Damage	<span class="icon-weapons"></span>8 Damage Out of Cover
2025-12-16	weapon	header-he	White House	40	Custom PF45	82741	370	15	Soft Spot	<span class="icon-weapons"></span>12.5 Pistol Damage	<span class="icon-weapons"></span>6.5 Accuracy	
2025-12-16	weapon	header-named	Countdown	40	Dare	0	0	0	Perfect Flatline	<span class="icon-weapons"></span>13 LMG Damage	<span class="icon-weapons"></span>9 Damage Out of Cover	<span class="icon-weapons"></span>7.5 Critical Hit Chance
2025-12-16	weapon	header-named	Countdown	40	Good Times - Black Market M60 E6	61116	500	100	Perfect Fast Hands	<span class="icon-weapons"></span>7.4 LMG Damage	<span class="icon-weapons"></span>12 Damage Out of Cover	<span class="icon-weapons"></span>10 Headshot Damage
2025-12-16	weapon	header-he	Clan	40	Custom PF45	82741	370	15	Soft Spot	<span class="icon-weapons"></span>13.9 Pistol Damage	<span class="icon-weapons"></span>7.1 Accuracy	
2025-12-16	weapon	header-he	Clan	40	Paratrooper SVD	159841	260	10	Close & Personal	<span class="icon-weapons"></span>11 MMR Damage	<span class="icon-weapons"></span>111 Headshot Damage	<span class="icon-weapons"></span>8 Critical Hit Damage
2025-12-16	weapon	header-he	Clan	40	Tactical M1911	98725	310	7	Pressure Point	<span class="icon-weapons"></span>11.5 Pistol Damage	<span class="icon-weapons"></span>9 Damage Out of Cover	
2025-12-16	weapon	header-he	Clan	40	Tactical SASG-12 K	364812	180	7	Flatline	<span class="icon-weapons"></span>14.1 Shotgun Damage	<span class="icon-weapons"></span>9 Damage to Armor	<span class="icon-weapons"></span>9 Accuracy
2025-12-16	weapon	header-named	The Theater	40	Surge - LVOA-C	100136	380	30	Perfect Spike	<span class="icon-weapons"></span>11.5 Rifle Damage	<span class="icon-weapons"></span>12 Critical Hit Damage	<span class="icon-weapons"></span>7 Health Damage
2025-12-16	weapon	header-he	The Theater	40	Custom M870 MCS	695775	75	5	Killer	<span class="icon-weapons"></span>11.5 Shotgun Damage	<span class="icon-weapons"></span>9 Damage to Armor	<span class="icon-weapons"></span>7 Health Damage
2025-12-16	weapon	header-he	The Theater	40	Urban MDR	97785	360	20	Killer	<span class="icon-weapons"></span>10.6 Rifle Damage	<span class="icon-weapons"></span>12 Critical Hit Damage	<span class="icon-weapons"></span>8 Damage Out of Cover
2025-12-16	weapon	header-he	The Campus	40	M700 Tactical	376096	54	7	Preservation	<span class="icon-weapons"></span>10.7 MMR Damage	<span class="icon-weapons"></span>91 Headshot Damage	<span class="icon-weapons"></span>8.6 Accuracy
2025-12-16	weapon	header-he	The Campus	40	Infantry MG5	43251	800	50	Ignited	<span class="icon-weapons"></span>10.5 LMG Damage	<span class="icon-weapons"></span>6 Damage Out of Cover	<span class="icon-weapons"></span>9 Critical Hit Damage
2025-12-16	weapon	header-named	The Castle	40	Lud	0	0	0	Perfect Streamline	<span class="icon-weapons"></span>11.2 AR Damage	<span class="icon-weapons"></span>14 Health Damage	<span class="icon-weapons"></span>8 Magazine Size
2025-12-16	weapon	header-he	The Castle	40	Covert SRS	338957	60	7	Soft Spot	<span class="icon-weapons"></span>9.8 MMR Damage	<span class="icon-weapons"></span>90 Headshot Damage	<span class="icon-weapons"></span>8.3 Accuracy
2025-12-16	weapon	header-he	The Castle	40	Military RPK-74 M	55474	650	45	Streamline	<span class="icon-weapons"></span>10.3 LMG Damage	<span class="icon-weapons"></span>8 Damage Out of Cover	<span class="icon-weapons"></span>8.2 Accuracy
2025-12-16	weapon	header-named	DZ East	40	Commando - Paratrooper SVD	159841	260	10	Perfectly Naked	<span class="icon-weapons"></span>7 MMR Damage	<span class="icon-weapons"></span>99 Headshot Damage	<span class="icon-weapons"></span>9.9 Stability
2025-12-16	weapon	header-he	DZ East	40	M700 Tactical	376096	54	7	Fast Hands	<span class="icon-weapons"></span>8.9 MMR Damage	<span class="icon-weapons"></span>111 Headshot Damage	<span class="icon-weapons"></span>6 Damage Out of Cover
2025-12-16	weapon	header-he	DZ East	40	GR9	37610	750	200	Vindictive	<span class="icon-weapons"></span>10.2 LMG Damage	<span class="icon-weapons"></span>9 Damage Out of Cover	<span class="icon-weapons"></span>8.2 Stability
2025-12-16	weapon	header-he	DZ South	40	Police T821	66757	550	32	Thunder Strike	<span class="icon-weapons"></span>10.9 SMG Damage	<span class="icon-weapons"></span>15 Critical Hit Chance	<span class="icon-weapons"></span>5 Damage to Armor
2025-12-16	weapon	header-he	DZ South	40	Tactical Mk 16	55504	625	30	Killer	<span class="icon-weapons"></span>10.5 AR Damage	<span class="icon-weapons"></span>15.5 Health Damage	<span class="icon-weapons"></span>12.1 Swap Speed
2025-12-16	weapon	header-he	DZ South	40	Tactical M1911	98725	310	7	Salvage	<span class="icon-weapons"></span>10.1 Pistol Damage	<span class="icon-weapons"></span>8.9 Stability	
2025-12-16	weapon	header-named	DZ West	40	Baker's Dozen - Classic M1A	205442	180	10	Perfect Lucky Shot	<span class="icon-weapons"></span>11.5 Rifle Damage	<span class="icon-weapons"></span>13 Critical Hit Damage	<span class="icon-weapons"></span>5.5 Health Damage
2025-12-16	weapon	header-he	DZ West	40	SASG-12	364812	180	7	Soft Spot	<span class="icon-weapons"></span>14.1 Shotgun Damage	<span class="icon-weapons"></span>7 Damage to Armor	<span class="icon-weapons"></span>6 Health Damage
2025-12-16	weapon	header-he	DZ West	40	UIC15 MOD2	105777	240	30	Killer	<span class="icon-weapons"></span>10.3 Rifle Damage	<span class="icon-weapons"></span>13 Critical Hit Damage	<span class="icon-weapons"></span>6.5 Health Damage
2025-12-16	weapon	header-he	Benitez	40	Converted SMG-9	51713	825	32	Outsider	<span class="icon-weapons"></span>10.1 SMG Damage	<span class="icon-weapons"></span>14 Critical Hit Chance	<span class="icon-weapons"></span>8 Damage Out of Cover
2025-12-16	weapon	header-he	Benitez	40	Paratrooper SVD	159841	260	10	Breadbasket	<span class="icon-weapons"></span>7.8 MMR Damage	<span class="icon-weapons"></span>111 Headshot Damage	<span class="icon-weapons"></span>4 Damage to Armor
2025-12-16	weapon	header-he	Benitez	40	Urban MDR	97785	360	20	Vindictive	<span class="icon-weapons"></span>9.2 Rifle Damage	<span class="icon-weapons"></span>13 Critical Hit Damage	<span class="icon-weapons"></span>9 Damage Out of Cover
2025-12-16	weapon	header-he	Benitez	40	93R	32908	1100	20	Determined	<span class="icon-weapons"></span>10.9 Pistol Damage	<span class="icon-weapons"></span>8 Damage Out of Cover	
2025-12-16	weapon	header-named	Haven	40	Cabaret - MP5 ST	51713	800	32	Perfect Thunder Strike	<span class="icon-weapons"></span>9.6 SMG Damage	<span class="icon-weapons"></span>16 Critical Hit Chance	<span class="icon-weapons"></span>17.5 Optimal Range
2025-12-16	weapon	header-he	Haven	40	Military M60 E4	61116	500	100	Strained	<span class="icon-weapons"></span>12.1 LMG Damage	<span class="icon-weapons"></span>6 Damage Out of Cover	<span class="icon-weapons"></span>9.5 Critical Hit Chance
2025-12-16	weapon	header-he	Haven	40	ACS-12	169243	300	20	Pumped Up	<span class="icon-weapons"></span>10.4 Shotgun Damage	<span class="icon-weapons"></span>8 Damage to Armor	<span class="icon-weapons"></span>3.6 Rate of Fire
2025-12-16	weapon	header-he	Haven	40	M45A1	98725	310	7	In Sync	<span class="icon-weapons"></span>10.2 Pistol Damage	<span class="icon-weapons"></span>8 Critical Hit Damage	
2025-12-16	weapon	header-he	The Bridge	40	ACR	53124	650	30	Precision Strike	<span class="icon-weapons"></span>10.5 AR Damage	<span class="icon-weapons"></span>14.5 Health Damage	<span class="icon-weapons"></span>7 Critical Hit Chance
2025-12-16	weapon	header-he	The Bridge	40	MG5	43251	800	50	Optimist	<span class="icon-weapons"></span>11.2 LMG Damage	<span class="icon-weapons"></span>9 Damage Out of Cover	<span class="icon-weapons"></span>6.5 Health Damage
2025-12-16	weapon	header-he	The Bridge	40	Classic M1A	205442	180	10	Determined	<span class="icon-weapons"></span>8.1 Rifle Damage	<span class="icon-weapons"></span>9 Critical Hit Damage	<span class="icon-weapons"></span>10 Headshot Damage
2025-12-16	weapon	header-he	The Bridge	40	Diceros	169243	180	6	Ranger	<span class="icon-weapons"></span>11.7 Pistol Damage	<span class="icon-weapons"></span>8.4 Stability	
2025-12-16	weapon	header-named	Cassie	40	Dare	0	0	0	Perfect Flatline	<span class="icon-weapons"></span>13 LMG Damage	<span class="icon-weapons"></span>9 Damage Out of Cover	<span class="icon-weapons"></span>7.5 Critical Hit Chance
2025-12-16	weapon	header-named	Cassie	40	Shield Splinterer - F2000	45132	850	30	Perfect Optimist	<span class="icon-weapons"></span>7.4 AR Damage	<span class="icon-weapons"></span>21 Health Damage	<span class="icon-weapons"></span>10 Headshot Damage
2025-12-16	weapon	header-named	Cassie	40	Huntsman	0	0	0	Perfect Frenzy	<span class="icon-weapons"></span>13 AR Damage	<span class="icon-weapons"></span>16 Health Damage	<span class="icon-weapons"></span>5 Damage to Armor
2025-12-16	weapon	header-he	Cassie	40	FAL SA-58 Para	56885	650	20	Overflowing	<span class="icon-weapons"></span>14.1 AR Damage	<span class="icon-weapons"></span>15.5 Health Damage	<span class="icon-weapons"></span>9 Accuracy
2025-12-16	weapon	header-he	Cassie	40	SRS A1	338957	60	7	Fast Hands	<span class="icon-weapons"></span>11.5 MMR Damage	<span class="icon-weapons"></span>95 Headshot Damage	<span class="icon-weapons"></span>8 Critical Hit Damage
2025-12-23	weapon	header-he	White House	40	MP5A2	51,713	800	32	Outsider	<span class="icon-weapons"></span>15% SMG Damage	<span class="icon-weapons"></span>12.5% Critical Hit Chance	<span class="icon-weapons"></span>7% Damage Out of Cover
2025-12-23	weapon	header-he	White House	40	G36 C	48,892	750	30	Close & Personal	<span class="icon-weapons"></span>11.2% AR Damage	<span class="icon-weapons"></span>16.5% Optimal Range	-
2025-12-23	weapon	header-he	White House	40	KARD-45	109,068	310	7	Pressure Point	<span class="icon-weapons"></span>11.4% Pistol Damage	<span class="icon-weapons"></span>5% Damage to Armor	-
2025-12-23	weapon	header-he	Clan	40	Police UMP-45	65,817	600	30	In Sync	<span class="icon-weapons"></span>15% SMG Damage	<span class="icon-weapons"></span>14.5% Critical Hit Chance	<span class="icon-weapons"></span>5% Damage to Armor
2025-12-23	weapon	header-he	Clan	40	SR-1	357,291	60	5	Future Perfect	<span class="icon-weapons"></span>8.7% MMR Damage	<span class="icon-weapons"></span>98% Headshot Damage	<span class="icon-weapons"></span>6% Damage to Armor
2025-12-23	weapon	header-he	Clan	40	Tactical M249 Para	56,414	550	100	Breadbasket	<span class="icon-weapons"></span>11.7% LMG Damage	<span class="icon-weapons"></span>10% Damage Out of Cover	<span class="icon-weapons"></span>6.5% Critical Hit Chance
2025-12-23	weapon	header-he	Clan	40	SOCOM Mk20 SSR	143,857	275	20	Naked	<span class="icon-weapons"></span>12.7% MMR Damage	<span class="icon-weapons"></span>90% Headshot Damage	<span class="icon-weapons"></span>7.5% Critical Hit Chance
2025-12-23	weapon	header-he	Clan	40	Custom P416 G3	47,952	750	30	Spike	<span class="icon-weapons"></span>11% AR Damage	<span class="icon-weapons"></span>16.5% Health Damage	<span class="icon-weapons"></span>9% Headshot Damage
2025-12-23	weapon	header-named	Countdown	40	The Drill - Carbine 7	47,012	790	30	Perfect Precision Strike	<span class="icon-weapons"></span>11.5% AR Damage	<span class="icon-weapons"></span>17% Health Damage	<span class="icon-weapons"></span>8% Critical Hit Damage
2025-12-23	weapon	header-named	The Theater	40	Stage Left - M1A CQB	156,080	320	10	Sledgehammer	<span class="icon-weapons"></span>7.3% Rifle Damage	<span class="icon-weapons"></span>15% Critical Hit Damage	<span class="icon-weapons"></span>9% Headshot Damage
2025-12-23	weapon	header-named	The Theater	40	Thorn - SPAS-12	646,883	70	8	Perfect Brazen	<span class="icon-weapons"></span>14.7% Shotgun Damage	<span class="icon-weapons"></span>5% Damage to Armor	<span class="icon-weapons"></span>7% Critical Hit Damage
2025-12-23	weapon	header-he	The Theater	40	Classic M1A	205,442	180	10	Precision Strike	<span class="icon-weapons"></span>10.3% Rifle Damage	<span class="icon-weapons"></span>13% Critical Hit Damage	<span class="icon-weapons"></span>8.3% Stability
2025-12-23	weapon	header-named	The Campus	40	Lud - Mk16	55,504	625	30	Perfect Streamline	<span class="icon-weapons"></span>10.7% AR Damage	<span class="icon-weapons"></span>15% Health Damage	<span class="icon-weapons"></span>9% Headshot Damage
2025-12-23	weapon	header-he	The Campus	40	M700 Tactical	376,096	54	7	Determined	<span class="icon-weapons"></span>11.1% MMR Damage	<span class="icon-weapons"></span>93% Headshot Damage	<span class="icon-weapons"></span>9.5% Magazine Size
2025-12-23	weapon	header-he	The Campus	40	Tactical M249 Para	56,414	550	100	Measured	<span class="icon-weapons"></span>12.7% Swap Speed	<span class="icon-weapons"></span>8% Damage Out of Cover	<span class="icon-weapons"></span>12.1% Swap Speed
2025-12-23	weapon	header-named	The Castle	40	Tabula Rasa - Military L86 LSW	59,705	610	30	Steady Handed	<span class="icon-weapons"></span>13.8% LMG Damage	<span class="icon-weapons"></span>11% Damage Out of Cover	<span class="icon-weapons"></span>2.2% Rate of Fire
2025-12-23	weapon	header-he	The Castle	40	Classic M44 Carbine	423,108	55	5	Breadbasket	<span class="icon-weapons"></span>11.5% MMR Damage	<span class="icon-weapons"></span>91% Headshot Damage	<span class="icon-weapons"></span>8% Magazine Size
2025-12-23	weapon	header-he	The Castle	40	Classic M60	63,466	500	100	Overwhelm	<span class="icon-weapons"></span>10.6% LMG Damage	<span class="icon-weapons"></span>9% Damage Out of Cover	<span class="icon-weapons"></span>5% Damage to Armor
2025-12-23	weapon	header-named	DZ West	40	Cuélebre – Military M870	695,775	75	5	Perfect Jazz Hands	<span class="icon-weapons"></span>10% Shotgun Damage	<span class="icon-weapons"></span>8% Damage to Armor	<span class="icon-weapons"></span>7% Damage Out of Cover
2025-12-23	weapon	header-he	DZ West	40	Tactical SASG-12 K	364,812	180	7	Pressure Point	<span class="icon-weapons"></span>10.1% Shotgun Damage	<span class="icon-weapons"></span>8% Damage to Armor	<span class="icon-weapons"></span>8.4% Reload Speed
2025-12-23	weapon	header-he	DZ West	40	Resolute MK47	104,837	300	30	Ranger	<span class="icon-weapons"></span>7.8% Rifle Damage	<span class="icon-weapons"></span>13% Critical Hit Damage	<span class="icon-weapons"></span>12% Reload Speed
2025-12-23	weapon	header-named	DZ South	40	Glory Daze - Custom P416 G3	47,952	750	30	Perfectly Near Sighted	<span class="icon-weapons"></span>10.4% AR Damage	<span class="icon-weapons"></span>14.5% Health Damage	<span class="icon-weapons"></span>12% Swap Speed
2025-12-23	weapon	header-he	DZ South	40	Cabaret - MP5 ST	51,713	800	32	Thunder Strike	<span class="icon-weapons"></span>11.2% SMG Damage	<span class="icon-weapons"></span>13.5% Critical Hit Chance	<span class="icon-weapons"></span>3.5% Rate of Fire
2025-12-23	weapon	header-he	DZ South	40	CTAR-21	41,371	900	30	Ignited	<span class="icon-weapons"></span>11.4% AR Damage	<span class="icon-weapons"></span>13.5% Health Damage	<span class="icon-weapons"></span>9% Headshot Damage
2025-12-23	weapon	header-he	DZ South	40	KARD-45	109,068	310	7	Preservation	<span class="icon-weapons"></span>10.2% Pistol Damage	<span class="icon-weapons"></span>11.9% Swap Speed	-
2025-12-23	weapon	header-he	DZ East	40	M700 Carbon	376,096	54	7	Perpetuation	<span class="icon-weapons"></span>10.5% MMR Damage	<span class="icon-weapons"></span>90% Headshot Damage	<span class="icon-weapons"></span>3.7% Rate of Fire
2025-12-23	weapon	header-he	DZ East	40	Military M60 E4	61,116	500	100	Strained	<span class="icon-weapons"></span>11.3% LMG Damage	<span class="icon-weapons"></span>9% Damage Out of Cover	<span class="icon-weapons"></span>12.2% Swap Speed
2025-12-23	weapon	header-he	Haven	40	ACR-E	53,124	650	30	Breadbasket	<span class="icon-weapons"></span>11.3% AR Damage	<span class="icon-weapons"></span>15% Health Damage	<span class="icon-weapons"></span>9% Magazine Size
2025-12-23	weapon	header-he	Haven	40	Military L86 LSW	59,705	610	30	Fast Hands	<span class="icon-weapons"></span>6% LMG Damage	<span class="icon-weapons"></span>10% Damage Out of Cover	<span class="icon-weapons"></span>8.5% Health Damage
2025-12-23	weapon	header-he	Haven	40	Police Mk17	116,120	275	20	Spike	<span class="icon-weapons"></span>10.6% Rifle Damage	<span class="icon-weapons"></span>13% Critical Hit Damage	<span class="icon-weapons"></span>7% Health Damage
2025-12-23	weapon	header-named	Haven	40	Prophet - Police 686 Magnum	190,339	160	6	Perfectly Determined	<span class="icon-weapons"></span>10.4% Pistol Damage	<span class="icon-weapons"></span>8% Critical Hit Damage	-
2025-12-23	weapon	header-he	Benitez	40	CTAR-21	41,371	900	30	On Empty	<span class="icon-weapons"></span>11.7% AR Damage	<span class="icon-weapons"></span>13% Health Damage	<span class="icon-weapons"></span>5% Damage to Armor
2025-12-23	weapon	header-he	Benitez	40	Stoner LAMG	47,952	580	200	Eyeless	<span class="icon-weapons"></span>9.9% LMG Damage	<span class="icon-weapons"></span>9% Damage Out of Cover	<span class="icon-weapons"></span>3.5% Rate of Fire
2025-12-23	weapon	header-he	Benitez	40	USC .45 ACP	98,255	420	20	Sadist	<span class="icon-weapons"></span>11.7% Rifle Damage	<span class="icon-weapons"></span>13% Critical Hit Damage	<span class="icon-weapons"></span>9% Magazine Size
2025-12-23	weapon	header-he	Benitez	40	Px4 Storm Type F	79,920	380	17	Sledgehammer	<span class="icon-weapons"></span>8.5% Pistol Damage	<span class="icon-weapons"></span>9% Critical Hit Damage	-
2025-12-23	weapon	header-named	The Bridge	40	Cabaret - MP5 ST	51,713	800	32	Thunder Strike	<span class="icon-weapons"></span>10.7% SMG Damage	<span class="icon-weapons"></span>14.5% Critical Hit Chance	<span class="icon-weapons"></span>9.5% Magazine Size
2025-12-23	weapon	header-he	The Bridge	40	M249 B	56,414	550	100	Fast Hands	<span class="icon-weapons"></span>11.2% LMG Damage	<span class="icon-weapons"></span>8% Damage Out of Cover	<span class="icon-weapons"></span>8% Critical Hit Damage
2025-12-23	weapon	header-he	The Bridge	40	M16A2	84,622	400	30	Behind You	<span class="icon-weapons"></span>8.2% Rifle Damage	<span class="icon-weapons"></span>11% Critical Hit Damage	<span class="icon-weapons"></span>11% Magazine Size
2025-12-23	weapon	header-he	The Bridge	40	D50	220,956	150	8	Thunder Strike	<span class="icon-weapons"></span>10.8% Pistol Damage	<span class="icon-weapons"></span>5% Damage to Armor	-
2025-12-23	weapon	header-named	Cassie	40	The Drill - Carbine 7	47,012	790	30	Perfect Precision Strike	<span class="icon-weapons"></span>1.5% AR Damage	<span class="icon-weapons"></span>17% Health Damage	<span class="icon-weapons"></span>8% Critical Hit Damage
2025-12-23	weapon	header-named	Cassie	40	Shield Splinterer - F2000	45,132	850	30	Perfect Optimist	<span class="icon-weapons"></span>13.2% AR Damage	<span class="icon-weapons"></span>16.5% Health Damage	<span class="icon-weapons"></span>10% Magazine Size
2025-12-23	weapon	header-named	Cassie	40	Huntsman - FAMAS 2010	44,191	900	30	Perfect Frenzy	<span class="icon-weapons"></span>9.8% AR Damage	<span class="icon-weapons"></span>16% Health Damage	<span class="icon-weapons"></span>12.5% Magazine Size
2025-12-23	weapon	header-he	Cassie	40	SIG MPX	53,124	850	30	Immobilize	<span class="icon-weapons"></span>11% SMG Damage	<span class="icon-weapons"></span>16.5% Critical Hit Chance	<span class="icon-weapons"></span>9% Headshot Damage
2025-12-23	weapon	header-he	Cassie	40	SR-1	357,291	60	5	Flatline	<span class="icon-weapons"></span>11.3% MMR Damage	<span class="icon-weapons"></span>94% Headshot Damage	<span class="icon-weapons"></span>8% Critical Hit Damage
2025-12-30	weapon	header-he	White House	40	Tommy Gun	55,474	800	50	Spike	<span class="icon-weapons"></span>6.7% SMG Damage	<span class="icon-weapons"></span>16.5% Critical Hit Chance	<span class="icon-weapons"></span>9.5% Health Damage
2025-12-30	weapon	header-he	White House	40	Police M4	44,191	850	30	Close & Personal	<span class="icon-weapons"></span>9.5% AR Damage	<span class="icon-weapons"></span>13% Health Damage	<span class="icon-weapons"></span>6% Damage to Armor
2025-12-30	weapon	header-he	White House	40	Px4 Storm Type F	79,920	380	17	Streamline	<span class="icon-weapons"></span>9.6% Pistol Damage	<span class="icon-weapons"></span>8% Critical Hit Damage	-
2025-12-30	weapon	header-named	Clan	40	Swap Chain - MP7	47,952	950	40	Perfect Unwavering	<span class="icon-weapons"></span>11.1% SMG Damage	<span class="icon-weapons"></span>16.5% Critical Hit Chance	<span class="icon-weapons"></span>5% Damage to Armor
2025-12-30	weapon	header-he	Clan	40	CTAR-21	41,371	900	30	Fast Hands	<span class="icon-weapons"></span>10.4% AR Damage	<span class="icon-weapons"></span>18.5% Health Damage	<span class="icon-weapons"></span>7% Damage Out of Cover
2025-12-30	weapon	header-he	Clan	40	Tactical .308	376,096	70	8	Optimist	<span class="icon-weapons"></span>12.2% MMR Damage	<span class="icon-weapons"></span>98% Headshot Damage	<span class="icon-weapons"></span>8% Critical Hit Damage
2025-12-30	weapon	header-named	Countdown	40	Swap Chain - MP7	47,952	950	40	Perfect Unwavering	<span class="icon-weapons"></span>9.5% SMG Damage	<span class="icon-weapons"></span>21% Critical Hit Chance	<span class="icon-weapons"></span>5% Damage to Armor
2025-12-30	weapon	header-named	Countdown	40	Carnage - IWI NEGEV	37,610	850	100	Sadist	<span class="icon-weapons"></span>11.3% LMG Damage	<span class="icon-weapons"></span>9% Damage Out of Cover	<span class="icon-weapons"></span>8% Critical Hit Damage
2025-12-30	weapon	header-named	The Theater	40	Cuélebre – Military M870	695,775	75	5	Perfect Jazz Hands	<span class="icon-weapons"></span>11.1% Shotgun Damage	<span class="icon-weapons"></span>8% Damage to Armor	<span class="icon-weapons"></span>8.1% Accuracy
2025-12-30	weapon	header-he	The Theater	40	SASG-12	364,812	180	7	Killer	<span class="icon-weapons"></span>13.2% Shotgun Damage	<span class="icon-weapons"></span>10% Damage to Armor	<span class="icon-weapons"></span>2.7% Rate of Fire
2025-12-30	weapon	header-he	The Theater	40	Resolute MK47	104,837	300	30	Streamline	<span class="icon-weapons"></span>10.5% Rifle Damage	<span class="icon-weapons"></span>13% Critical Hit Damage	<span class="icon-weapons"></span>5% Damage to Armor
2025-12-30	weapon	header-named	The Campus	40	Designated Hitter - SR-1	357,291	60	5	Perfect Reformation	<span class="icon-weapons"></span>10.1% MMR Damage	<span class="icon-weapons"></span>88% Headshot Damage	<span class="icon-weapons"></span>7% Health Damage
2025-12-30	weapon	header-he	The Campus	40	Tactical .308	376,096	70	8	Future Perfect	<span class="icon-weapons"></span>8.7% MMR Damage	<span class="icon-weapons"></span>111% Headshot Damage	<span class="icon-weapons"></span>6% Critical Hit Damage
2025-12-30	weapon	header-he	The Campus	40	Military RPK-74 M	55,474	650	45	Preservation	<span class="icon-weapons"></span>11.4% LMG Damage	<span class="icon-weapons"></span>9% Damage Out of Cover	<span class="icon-weapons"></span>19% Optimal Range
2025-12-30	weapon	header-named	DZ West	40	Baker's Dozen - Classic M1A	205,442	180	10	Perfect Lucky Shot	<span class="icon-weapons"></span>7% Rifle Damage	<span class="icon-weapons"></span>14% Critical Hit Damage	<span class="icon-weapons"></span>6% Damage to Armor
2025-12-30	weapon	header-he	DZ West	40	Double Barrel Shotgun	620,556	200	2	In Sync	<span class="icon-weapons"></span>10.1% Shotgun Damage	<span class="icon-weapons"></span>10% Damage to Armor	<span class="icon-weapons"></span>17.5% Optimal Range
2025-12-30	weapon	header-he	DZ West	40	Urban MDR	97,785	360	20	Reformation	<span class="icon-weapons"></span>10.3% Rifle Damage	<span class="icon-weapons"></span>12% Critical Hit Damage	<span class="icon-weapons"></span>7% Damage Out of Cover
